DR_NO,Date Rptd,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Race,Premis Desc,Weapon Desc,LAT,LON
200505266,1/30/2020,Harbor,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),41,F,W,White,PARKING LOT,,33.7899,-118.2975
200108273,3/2/2020,Central,761,BRANDISH WEAPON,53,F,B,Black,SINGLE FAMILY DWELLING,KITCHEN KNIFE,34.0478,-118.2454
211914934,10/28/2021,Mission,330,BURGLARY FROM VEHICLE,27,M,H,Hispanic,STREET,,34.2536,-118.4609
200308452,3/10/2020,Southwest,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",26,M,B,Black,YARD (RESIDENTIAL/BUSINESS),,34.0125,-118.3435
200506907,3/7/2020,Harbor,626,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,B,Black,ALLEY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.7351,-118.2814
211106437,3/13/2021,Northeast,310,BURGLARY,32,M,W,White,SINGLE FAMILY DWELLING,,34.1054,-118.3006
210706980,3/22/2021,Wilshire,330,BURGLARY FROM VEHICLE,57,M,W,White,SIDEWALK,,34.073,-118.3732
200305600,1/27/2020,Southwest,761,BRANDISH WEAPON,45,M,H,Hispanic,DRIVEWAY,FOLDING KNIFE,34.0167,-118.3161
211308955,4/27/2021,Newton,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41,M,B,Black,STREET,SEMI-AUTOMATIC PISTOL,33.9898,-118.2783
200304628,1/11/2020,Southwest,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,F,B,Black,STREET,HAND GUN,34.021,-118.3029
150622175,10/16/2015,Hollywood,354,THEFT OF IDENTITY,30,M,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.0926,-118.3374
191304864,1/4/2019,Newton,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),7,F,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0216,-118.2564
200415987,12/15/2020,Hollenbeck,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",19,M,H,Hispanic,STREET,,34.0839,-118.1731
211221961,10/18/2021,77th Street,330,BURGLARY FROM VEHICLE,35,F,B,Black,OTHER BUSINESS,,33.9505,-118.3134
200121736,11/30/2020,Central,624,BATTERY - SIMPLE ASSAULT,50,F,H,Hispanic,STREET,STICK,34.0417,-118.2444
211811441,6/1/2021,Southeast,330,BURGLARY FROM VEHICLE,21,M,F,Asian,STREET,,33.9312,-118.2308
200106785,2/9/2020,Central,860,BATTERY WITH SEXUAL CONTACT,24,F,W,White,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0462,-118.2628
200405366,2/4/2020,Hollenbeck,624,BATTERY - SIMPLE ASSAULT,31,F,H,Hispanic,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0244,-118.2169
152109946,5/12/2015,Topanga,354,THEFT OF IDENTITY,24,M,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,34.1847,-118.5888
200107294,2/17/2020,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,29,M,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0466,-118.259
211007705,4/29/2021,West Valley,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",14,F,W,White,SINGLE FAMILY DWELLING,,34.192,-118.5151
211413659,6/19/2021,Pacific,624,BATTERY - SIMPLE ASSAULT,72,M,W,White,STREET,UNKNOWN WEAPON/OTHER WEAPON,33.9913,-118.4442
200107299,2/16/2020,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,24,F,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0416,-118.244
200205416,1/29/2020,Rampart,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",21,F,B,Black,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",KITCHEN KNIFE,34.0644,-118.2686
200204070,1/2/2020,Rampart,624,BATTERY - SIMPLE ASSAULT,50,M,B,Black,MTA BUS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0576,-118.2598
200108321,3/2/2020,Central,624,BATTERY - SIMPLE ASSAULT,45,F,H,Hispanic,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0421,-118.2469
211307334,3/16/2021,Newton,210,ROBBERY,15,M,H,Hispanic,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9975,-118.2696
200206833,2/25/2020,Rampart,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),51,F,H,Hispanic,"VEHICLE, PASSENGER/TRUCK",,34.0676,-118.2685
